   6
Position(x)          1         2         3         4         5         6
 0.000     1.967E+05     2.318E+04     2.288E+05     1.203E+04     2.083E+04     1.188E+05
 1.000     1.967E+05     2.318E+04     2.287E+05     1.202E+04     2.080E+04     1.188E+05
 2.000     1.967E+05     2.318E+04     2.286E+05     1.201E+04     2.078E+04     1.188E+05
 2.000     1.967E+05     2.318E+04     2.286E+05     1.201E+04     2.078E+04     1.188E+05
 3.000     1.972E+05     2.324E+04     2.292E+05     1.204E+04     2.085E+04     1.191E+05
 4.000     1.977E+05     2.330E+04     2.298E+05     1.208E+04     2.091E+04     1.194E+05
 4.000     1.977E+05     2.330E+04     2.298E+05     1.208E+04     2.091E+04     1.194E+05
 5.000     1.982E+05     2.335E+04     2.304E+05     1.211E+04     2.097E+04     1.197E+05
 6.000     1.987E+05     2.341E+04     2.311E+05     1.214E+04     2.104E+04     1.200E+05
 6.000     1.987E+05     2.341E+04     2.311E+05     1.214E+04     2.104E+04     1.200E+05
 7.000     1.987E+05     2.341E+04     2.310E+05     1.213E+04     2.101E+04     1.200E+05
 8.000     1.987E+05     2.341E+04     2.309E+05     1.212E+04     2.099E+04     1.200E+05
 8.000     1.987E+05     2.341E+04     2.309E+05     1.212E+04     2.099E+04     1.200E+05
 9.000     1.987E+05     2.341E+04     2.308E+05     1.211E+04     2.096E+04     1.200E+05
10.000     1.987E+05     2.341E+04     2.307E+05     1.211E+04     2.094E+04     1.200E+05
